left context,original word,right context,word correction,hun correction
Freiwilliger,RK,Als,RK,KRK
damals,uswusf,frei,Usus,Auswurf
der,Sytem,menschenverachtendes,System,System
der,bzw,Kommunismus,bzw.,bzw.
immun,Ideen/Ideologie,linke,Ideen/Ideologie,Ideen-Ideologie
to,want,I,want,wand
break,to,want,to,tot
free,break,to,break,Break
zu,free,break,free,freie
und,schürzenjäger,ein,Schürzenjäger,Schürzenjäger
für,nacht,und,Nacht,Nacht
in,nacht,für,Nacht,Nacht
hab,nachrichten,die,Nachrichten,Nachrichten
werde,europa,gehofft,Europa,Europa
kompliziert,sooo,wäre,solo,solo
der,witzigerweis,11/12,witzig erweis,witzigerweise
in,mauerfall,der,mauerfall,Mauerfall
kaum,berlin,in,berlin,Berlin
und,rumänien,aber,Rumänien,Rumänien
vom,sturz,der,Sturz,Sturz
sind,ceausescu,vom,Ceausescu,schmause
geblieben,gedächtnis,im,Gedächtnis,Gedächtnis
von,erinnerungen,noch,Erinnerungen,Erinnerungen
in,geschehnissen,den,Geschehnissen,Geschehnissen
in,polen,in,polen,Polen
davor,jahren,den,Jahren,Jahren
seh,ddr,die,DDR,DDR
ich,seh,ddr,sehr,eh
polster,auge,geistigen,Auge,Auge
wie,polster,auge,Polster,polster
springt,bande,die,Bande,Bande
beschimpft,publikum,das,Publikum,Publikum
dabei,jahr,diesem,Jahr,Jahr
im,mauerfall,den,mauerfall,Mauerfall
'echter',rumänien,wirkt,Rumänien,Rumänien
-,'echter',rumänien,'echter',Fechter
vielleicht,bischen,ein,bisschen,bisschen
im,nachhinein,im,nachhinein,Nachhinein
nur,aussergewöhnliches,Nichts,außergewöhnliches,außergewöhnliches
Und,ect,verwaist,etc.,et
-,FP,die,FP,FTP
und,ZiB,die,Ziba,GiB
hat,rausgebracht,Sätze,rausgebracht,ausgebracht
kann,Ick,hat,Ick,Eck
nich,det,kann,dem,der
glooben,nich,det,nach,mich
Ick,glooben,nich,Globen,Globen
kann,Ick,glooben,Ick,Eck
eenfach,det,kann,dem,der
nich,eenfach,det,einfach,einfach
glooben,nich,eenfach,nach,mich
-,glooben,nich,Globen,Globen
Im,osten,ist,osten,Osten
auf,Trabikolonnen,die,Trabi Kolonnen,Kolonnenarbeit
von,Innkreisautobahn,und,Innkreisautobahn,Kinnkreisautobahn
ganz,Grossfamilie,meine,Großfamilie,Großfamilie
Studentinnen,bzw,Studenten,bzw.,bzw.
at,foren@derstandard,an,foren@derstandard,Referendarsforen
http,at,foren@derstandard,at,AT
at/2929103/Frequently-Asked-Questions-zum-Forum,//derstandard,http,der Standard,Rassestandard
id=2929103&_artikelIndex=15,at/2929103/Frequently-Asked-Questions-zum-Forum,//derstandard,atz,ultrahochfrequent-Asked-Questions-zum-Forum
warum,ps,id=2929103&_artikelIndex=15,PS,PS
von,bzw,Zonengrenze,bzw.,bzw.
vor,Nerdrausch,meinem,Erdrauch,Nordrausch
hinlegen,Bananensplit,simplen,Bananensplit,Bananensplint
Rock,Hard,erste,Hard,Hardy
-,Metallica,gehört,Metallica,Metallic
-,Black,in,Black,Blick
daran,erinnerung,lebhafte,Erinnerung,Erinnerung
ruhig,Pscht,gesagt,Pscht,Pacht
auf,8ten,vom,8ten,Texten
November,9ten,den,9ten,Texten
6,ca,allein,ca,ca.
Sause,ne,dritt,ne,nie
-,Erlbnis,Tolles,Erlebnis,Erlebnis
-,jahre,30,Jahre,Jahre
als,pleiter,war,pleite,pleite
oder,vertschüssten,Südamerika,verschossen,verschüchterten
stieg,MwSt,Die,MwSt.,MwSt.
etc,Hartz4,wie,Hartz4,Hartz
folgten,etc,Hartz4,etc.,et
die,anregung,kleine,Anregung,Anregung
der,staatsverschuldung,die,Staatsverschuldung,Staatsverschuldung
betrug,ddr,der,DDR,DDR
war,bip,des,BIP,BIP
oder,österreichs,jene,Österreichs,Österreichs
heute,brd,der,BRD,BRD
als,pleiter,auch,pleite,pleite
Change,of,Wind,of,oft
und,Change,of,Change,Charge
Kolleginnen,WG,meiner,WG,WEG
Es,-D,rumliegen,-D,AD
auch,ueberkommt,Mich,überkommt,überkommt
wenn,Ruehrung,die,Rührung,Rührung
dass,aehnlich,so,ähnlich,ähnlich
also,Allentsteig,Truppenübungsplatz,Allentsteig,Allenstein
&,Black,in,Black,Blick
Will,Metallica,&,Metallica,Metallic
aber,klugsch,nicht,klatsch,klugschiss
da,Ac/Dc,sollte,Ac/Dc,Acidum
black,to,Fade,to,tot
-,black,to,black,back
haben,garnichts,von,Garnichts,gar nichts
sich,Hikmet,ob,Hikmet,Metaethik
und,Salafisten,mit,Satanisten,Salafisten
mit,vielzusehr,war,vielzusehr,Vielzeller
Ich,mitgeheult,alle,mitgeheult,mit geheult
Danach,rausgekommen,Heirat,rausgekommen,ausgekommen
dann,wars,Danach,wars,ward
des,schöpfer,der,Schöpfer,Schöpfer
mittlerweile,lehmanns,des,Lehmanns,Sehmanns
-,hand,der,hand,Hand
so,wow,-,wow,wo
aber,bilder,der,Bilder,Bilder
der,vater,meinen,Vater,Vater
-,dreissig,kaum,Dreißig,dreißig
derleb,nu,des,nu,neu
tja,derleb,nu,derlei,derlei
und,Trabbi,meinem,Trabbi,Trabi
Kumpel,nem,und,Nehm,dem
für,Esatzteilversorgung,schlechten,Esatzteilversorgung,Ersatzteilversorgung
im,Trabbi,den,Trabbi,Trabi
Tatras,Ladas,den,Ladas,Laas
und,Tatras,Ladas,Tantras,Tatars
haben,Trabants,und,Trabants,Trabant
und,Aja,verdüstert,Aja,Aa
bei,Community,Liebe,Community,Kommunität
angezeigt,follower,11,follower,Flowerpower
da,Gibts,sehen,Gibst,Gifts
-,CSSR,die,CSSR,CSFR
erinnern,achziger,die,achtziger,achtziger
der,start,-,start,Start
-,simpsons,der,Simpsons,Simplons
veröffentlichen,nirvana,-,nirvana,Nirwana
nintendo,bleach,veröffentlichen,bleach,bleich
den,nintendo,bleach,nistende,Nintendo
boy,game,den,game,gare
-,boy,game,boy,Boy
berger,gerhard,-,Gerhard,Gerhard
crasht,berger,gerhard,Berger,Berger
in,crasht,berger,Crash,Crashtest
politisch,imola,in,Irmela,Imola
vs,bush,-,bush,Bush
dukakis,vs,bush,vs,vs.
-,dukakis,vs,Dukakis,Kakis
bond,james,-,James,James
vs,bond,james,bond,Bond
drogenboss,vs,bond,vs,vs.
franz,drogenboss,vs,Drogen Boss,Drogenboss
sanchez,franz,drogenboss,franz,Franz
-,sanchez,franz,Sache,Ganzsache
vs,hasselhoff,-,Hasselhoff,Hasselfelde
gorbatschow,vs,hasselhoff,vs,vs.
hab,gorbatschow,vs,Gorbatschow,Gorbatschow
und,fruehstueck,zum,frühstück,Gehstrecke
heult,stiefmama,die,Stief Mama,-tiefmama
was,mei,mir,mein,mein
denn,is,was,is,iss
gebaut,wasser,am,Wasser,wassre
der,fernseher,zum,Fernseher,Fernseher
von,bilder,die,Bilder,Bilder
und,nacht,letzter,Nacht,Nacht
tanzen,menschen,die,menschen,Menschen
wurde,ploetzlich,und,plötzlich,plötzlich
rotzbub,pubertaerem,als,pubertärem,pubertärem
klar,rotzbub,pubertaerem,rotzbub,Zubrot
selbst,aendern,alles,ändern,ändern
klar,AC/DC,-,AC/DC,ACIDUM
eigentlich,LP,die,LP,KP
-,Metal,meine,Metal,Metall
Soundgarden,Pantera,Phase,Panter,Panters
no,Faith,Soundgarden,Faith,Parfait
more,no,Faith,no,eo
usw,more,no,more,morse
Die,usw,more,usw.,usw.
-,sorry,verschwommen,sorry,Story
ersatzteile,blödsinn,-,Blödsinn,Blödsinn
für,ersatzteile,blödsinn,Ersatzteile,Ersatzteile
gabs,trabbi,den,Trabbi,-rabbi
in,gabs,trabbi,gabs,gab
-,überraschungsei,jedem,Überraschung sei,Überraschungsei
-,posten,Rubrik,posten,Posten
und,wessi,-,Wess,wisse
treffen,ossi,und,Bossi,fossil
Leben,erinnerbares,mein,erinnerbares,erinner bares
ap/lionel,foto,wurde,Foto,Foto
cironneau,ap/lionel,foto,am,Appellation
Die,cironneau,ap/lionel,cironneau,Rondeau
gibt,herrscher,keinen,Herrscher,Herrscher
bei,herrscher,ein,Herrscher,Herrscher
-,polizei,uns,Polizei,Polizei
bin,raufgegangen,Jahren,raufgegangen,aufgegangen
war,Ceausescu-Regime,Das,Ceausescu-Regime,Schmause-Regime
Exekution,Ceausescus,von,Ceausescus,Sauseschritt
konnte,trabbi,Einen,Trabbi,-rabbi
5,aauchnur,j,Aachner,Schnurrhaar
Strumpfhose,ner,mit,nur,er
nur,Trabbi,den,Trabbi,Trabi
net,heißn,sie,heißen,heiß
zufällig,net,heißn,net,et
und,hatzinger,zufällig,hitziger,Ratzinger
&,fleischer-,einen,fleischer-,-fleischer
namens,selchmeister,&,selchmeister,Kelchmeister
-,bockerer,namens,lockerer,lockerer
das,Lignano,in,Lignine,Gemignano
bzw,Kvarner,Hotel,Karner,Arverner
daneben,bzw,Kvarner,bzw.,bzw.
com,booking,über,booking,Smoking
gute,com,booking,com,vom
das,schirchste,das,schiechste,schirrte
alte,EInrichtung,alte,Einrichtung,Einrichtung
Armaturen,FLiesen,fehlende,Fliesen,Fliesen
sondern,Zummer,dem,Zimmer,Zimmer
15,max,mit,max,Max
bin,Opatija,Von,Optima,Optimat
in,Schiejok,beim,Schumejko,Schierke
geschrieben,Resetarits,dem,Resetarits,Sekretariats
delicti,corpus,das,corpus,Korpus
aufgehoben,delicti,corpus,Delikt,deliktisch
