Word_Percent_correct,88.35
Word_Percent_false,5.77
Word_Precision,0.62
Word_Recall,0.78
Word_Fscore,0.69
Word_accuracy,0.82
Word_specificity,0.99
Hun_Percent_correct,84.49
Hun_Percent_false,9.63
Hun_Precision,0.62
Hun_Recall,0.78
Hun_Fscore,0.69
Hun_accuracy,0.82
Hun_specificity,0.99
All errors,204
# word unrecognized,85
% word unrecognized,41.67
# hunspell unrecognized,37
% hun unrecognized,18.14
Word_Percent_correct,88.35
Word_Percent_false,5.77
Word_Precision,0.62
Word_Recall,0.78
Word_Fscore,0.69
Word_accuracy,0.82
Word_specificity,0.99
Hun_Percent_correct,84.49
Hun_Percent_false,9.63
Hun_Precision,0.62
Hun_Recall,0.78
Hun_Fscore,0.69
Hun_accuracy,0.82
Hun_specificity,0.99
All errors,204
# word unrecognized,85
% word unrecognized,41.67
# hunspell unrecognized,37
% hun unrecognized,18.14
Word_Percent_correct,88.35
Word_Percent_false,5.77
Word_Precision,0.62
Word_Recall,0.78
Word_Fscore,0.69
Word_accuracy,0.82
Word_specificity,0.99
Hun_Percent_correct,84.49
Hun_Percent_false,9.63
Hun_Precision,0.62
Hun_Recall,0.78
Hun_Fscore,0.69
Hun_accuracy,0.82
Hun_specificity,0.99
All errors,204
# word unrecognized,85
% word unrecognized,41.67
# hunspell unrecognized,37
% hun unrecognized,18.14
Word_Percent_correct,88.35
Word_Percent_false,5.77
Word_Precision,0.62
Word_Recall,0.78
Word_Fscore,0.69
Word_accuracy,0.82
Word_specificity,0.99
Hun_Percent_correct,84.49
Hun_Percent_false,9.63
Hun_Precision,0.62
Hun_Recall,0.78
Hun_Fscore,0.69
Hun_accuracy,0.82
Hun_specificity,0.99
All errors,204
# word unrecognized,85
% word unrecognized,41.67
# hunspell unrecognized,37
% hun unrecognized,18.14
Word_Percent_correct,88.35
Word_Percent_false,5.77
Word_Precision,0.62
Word_Recall,0.78
Word_Fscore,0.69
Word_accuracy,0.82
Word_specificity,0.99
Hun_Percent_correct,84.49
Hun_Percent_false,9.63
Hun_Precision,0.62
Hun_Recall,0.78
Hun_Fscore,0.69
Hun_accuracy,0.82
Hun_specificity,0.99
All errors,204
# word unrecognized,85
% word unrecognized,41.67
# hunspell unrecognized,37
% hun unrecognized,18.14
Word_Percent_correct,88.35
Word_Percent_false,5.77
Word_Precision,0.62
Word_Recall,0.78
Word_Fscore,0.69
Word_accuracy,0.82
Word_specificity,0.99
Hun_Percent_correct,84.49
Hun_Percent_false,9.63
Hun_Precision,0.62
Hun_Recall,0.78
Hun_Fscore,0.69
Hun_accuracy,0.82
Hun_specificity,0.99
All errors,204
# word unrecognized,85
% word unrecognized,41.67
# hunspell unrecognized,37
% hun unrecognized,18.14
Word_Percent_correct,88.35
Word_Percent_false,5.77
Word_Precision,0.62
Word_Recall,0.78
Word_Fscore,0.69
Word_accuracy,0.82
Word_specificity,0.99
Hun_Percent_correct,84.49
Hun_Percent_false,9.63
Hun_Precision,0.62
Hun_Recall,0.78
Hun_Fscore,0.69
Hun_accuracy,0.82
Hun_specificity,0.99
All errors,204
# word unrecognized,85
% word unrecognized,41.67
# hunspell unrecognized,37
% hun unrecognized,18.14
